name,price,status,shipping,free_returns,items_sold
Sony XPERIA 1 III XQ-BC72 512GB 12GB RAM FACTORY UNLOCKED Dual Sim (GLOBAL),120899,New,0,True,68
"Sony XPERIA 1 III XQ-BC72 512GB 12GB RAM Dual SIM (FACTORY UNLOCKED) 6.5""",120999,New,0,True,117
"Sony XPERIA 1 III 512GB XQ-BC72 12GB RAM Dual SIM GSM Factory Unlocked 6.5""",121495,New,0,True,0
"Sony Xperia 1 III XQ-BC62 12/256GB BLACK 6.5"" OLED US Version UNLOCKED ",105000,Open box,849,False,6
USED - Sony XPERIA 5 III XQ-BQ72 256GB 8GB RAM Dual SIM (FACTORY UNLOCKED) Green,86499,Used,0,True,0
USED - Sony XPERIA 1 III XQ-BC72 256GB 12GB RAM Dual SIM (FACTORY UNLOCKED),99999,Used,0,True,0
"Sony Xperia 1 III (Unlocked, Dual SIM) + Sony WF-1000XM3 Noise Canceling Earbuds",115000,Open box,0,False,0
Sony Xperia 1 III 5G Smartphone with 4K OLED Display Kratos Charging Pad Bundle,129999,New,0,True,0
Sony Xperia 1 III Smartphone with with WF1000XM3 B True Wireless Earphones,152800,New,0,True,0
Sony Xperia 1 III Smartphone with with WF1000XM3 S True Wireless Earphones,152800,New,0,True,0
For Sony Xperia 1 III Case | Caseology [Vault] Textured Grip Shockproof Case,1399,New,0,True,15
"Sony Xperia Z C6603 Android Smart Mobile Phone Unlocked 16GB 5"" Purple UK Ship ",3799,Used,,False,14
Official Genuine Sony  Xperia 1 III  XQZ-CBBC Style Back Cover With Stand Case ,7999,New,0,False,11
"Designed for Sony Xperia 1 III, TUDIA Slim-Fit MERGE Dual Layer Protective Case",1209,New,0,True,32
Case for Sony Xperia 1 III Belt Clip Pouch Holster with Card Slot,1059,New,0,True,3
For Sony Xperia 1 10 II III Luxury Aluminum Metal Bumper Back Glass Case Cover,1599,New,399,True,4
For Sony Xperia 1 10 III Luxury Magnetic Plating Case Hybrid Ring Soft Cover,799,New,0,True,8
IMAK For Sony Xperia 1 5 10 III Luxury Shockproof Matte Feel Soft Cover Case,499,New,399,True,2
For Sony Xperia 1 10 II III Luxury Aluminum Metal Bumper Frame Screw Case Cover,1599,New,399,True,6
For Sony Xperia 1 III 10Aluminum Metal Bumper Frame Cover+Carmera Protector case,1298,New,299,False,20
For Sony Xperia 1 III Phone Case Belt Pouch Holster with Clip/Loop,998,New,0,True,6
SONY OFFICIAL STYLE COVER CASE WITH STAND FOR XPERIA 1 III - XQZCBBCB - BLACK,2999,New,,False,86
For Sony Xperia 1 III  / 5 II III / 10 II III Colorful Color PC Hard Back Case,463,New,299,False,60
For Sony Xperia 1 5 10 III Case Shockproof Heavy Armor Kickstand Rugged Cover,698,New,0,True,5
"For Sony Xperia 1 III, Luxury Aluminum Bumper Frame Case Protect Camera Cover",1599,New,399,False,2
